km_driven,mileage,engine,max_power,seats,name_target_enc,fuel_Diesel,fuel_Petrol,seller_type_Individual,transmission_Manual
70000.0,19.33,1248.0,82.0,5.0,684285.7142857143,1,0,1,1
115962.0,19.33,1248.0,82.0,5.0,785000.0,1,0,1,1
110000.0,19.33,1248.0,82.0,5.0,399705.8823529412,1,0,1,1
170000.0,19.33,1248.0,82.0,5.0,226000.0,1,0,1,1
39000.0,19.33,1248.0,82.0,5.0,1831250.0,1,0,1,0
37659.0,20.77,1248.0,88.8,7.0,600178.5357142857,1,0,1,1
60000.0,19.33,1248.0,82.0,5.0,900000.0,1,0,1,1
4701.0,20.7,1197.0,81.86,5.0,641666.6666666666,0,1,0,1
70000.0,15.96,2523.0,62.1,7.0,717500.0,1,0,1,1
5000.0,19.33,1248.0,82.0,5.0,380000.0,0,1,1,1
35000.0,21.1,814.0,55.2,5.0,255500.0,0,1,1,1
120000.0,19.09,1396.0,69.0,5.0,159749.875,1,0,1,1
70000.0,27.28,1047.0,69.0,5.0,440000.0,1,0,1,1
90000.0,19.33,1248.0,82.0,5.0,192166.3333333333,1,0,1,1
55328.0,19.33,1248.0,82.0,5.0,244999.85714285716,1,0,0,1
70000.0,21.38,1396.0,88.7,5.0,922777.7777777778,1,0,1,1
70000.0,19.33,1248.0,82.0,5.0,363263.1052631579,0,1,1,1
100000.0,25.8,1498.0,98.6,5.0,399705.8823529412,1,0,1,1
91400.0,19.34,1198.0,76.0,5.0,324200.0,0,1,1,0
68300.0,19.33,1248.0,82.0,5.0,85000.0,0,1,1,1
48000.0,19.33,1248.0,82.0,5.0,300000.0,0,1,0,1
129000.0,15.1,2179.0,140.0,7.0,709523.8095238095,1,0,1,1
15000.0,19.33,1248.0,82.0,5.0,920750.0,1,0,1,0
175000.0,23.03,1396.0,69.0,5.0,222428.57142857145,1,0,1,1
100000.0,24.3,1248.0,88.5,5.0,859352.7647058824,1,0,1,1
65000.0,19.33,1248.0,82.0,5.0,500312.5,1,0,0,1
20000.0,22.37,2487.0,214.56,5.0,5150000.0,0,1,0,0
90000.0,23.4,1248.0,74.0,5.0,595290.1935483871,1,0,1,1
90000.0,16.8,1493.0,110.0,5.0,230307.61538461535,1,0,1,1
120000.0,19.33,1248.0,82.0,5.0,58000.0,0,1,1,1
90000.0,19.4,1405.0,70.0,5.0,183947.31578947368,1,0,1,1
31000.0,25.4,1186.0,73.97,5.0,620000.0,1,0,1,1
80000.0,13.93,2179.0,138.0,7.0,275000.0,1,0,1,1
80235.0,28.4,1248.0,74.02,5.0,595290.1935483871,1,0,0,1
175000.0,19.33,1248.0,82.0,5.0,693136.3636363636,1,0,1,1
100000.0,19.33,1248.0,82.0,5.0,95000.0,0,1,1,1
20000.0,22.37,2487.0,214.56,5.0,5150000.0,0,1,0,0
35000.0,21.4,1197.0,83.1,5.0,639823.5294117647,0,1,1,1
185000.0,19.5,1248.0,75.0,5.0,315000.0,1,0,1,1
30000.0,24.7,796.0,47.3,5.0,247941.93129770996,0,1,1,1
50000.0,18.2,1248.0,73.8,8.0,318000.0,1,0,1,1
80322.0,17.8,1399.0,67.0,5.0,312083.3333333333,1,0,0,1
100000.0,25.32,1198.0,77.0,6.0,380000.0,1,0,1,1
120000.0,19.33,1248.0,82.0,5.0,220000.0,1,0,1,1
8500.0,16.78,1995.0,190.0,5.0,5463636.363636363,1,0,0,0
70000.0,28.4,1248.0,74.0,5.0,416216.843373494,1,0,0,1
125000.0,12.99,2494.0,100.6,7.0,814565.1739130435,1,0,1,1
23000.0,20.45,1461.0,108.5,5.0,1200000.0,1,0,1,1
70000.0,19.33,1248.0,82.0,5.0,74879.29310344828,0,1,1,1
120000.0,19.33,1248.0,82.0,5.0,83750.0,0,1,1,1
9000.0,19.33,1248.0,82.0,5.0,1115000.0,0,1,0,1
25061.0,19.33,1248.0,82.0,5.0,693136.3636363636,1,0,0,1
7104.0,19.33,1248.0,82.0,5.0,674615.3846153846,0,1,0,1
165000.0,19.33,1248.0,82.0,5.0,120000.0,0,1,1,1
170000.0,21.0,1461.0,64.1,5.0,202857.0,1,0,1,1
4000.0,19.33,1248.0,82.0,5.0,432279.92,0,1,1,1
130000.0,19.33,1248.0,82.0,5.0,2000000.0,1,0,1,0
55000.0,19.33,1248.0,82.0,5.0,273750.0,0,1,0,1
50000.0,19.33,1248.0,82.0,5.0,179357.07142857142,0,1,1,1
110000.0,23.0,1396.0,90.0,5.0,314000.0,1,0,1,1
1300.0,19.33,1248.0,82.0,5.0,337500.0,0,1,1,1
50000.0,24.7,1047.0,69.0,5.0,550000.0,1,0,1,1
50000.0,19.33,1248.0,82.0,5.0,557005.5166666667,1,0,1,1
56494.0,18.2,1199.0,88.7,5.0,546166.6666666666,0,1,0,1
80000.0,22.7,799.0,53.0,5.0,229999.0,0,1,1,1
35000.0,18.6,1197.0,81.83,5.0,530714.2142857143,0,1,1,1
188000.0,19.01,1461.0,108.45,5.0,609073.9629629629,1,0,1,1
80000.0,20.36,1197.0,78.9,5.0,253814.8148148148,0,1,1,1
40000.0,18.2,1199.0,82.4,5.0,397285.7142857143,0,1,1,1
60000.0,18.6,1197.0,81.83,5.0,519333.3333333333,0,1,1,1
76000.0,22.54,1396.0,88.73,5.0,550000.0,1,0,0,1
50000.0,19.33,1248.0,82.0,5.0,584999.75,1,0,1,1
31000.0,21.1,814.0,55.2,5.0,255500.0,0,1,1,1
50000.0,20.51,998.0,67.04,5.0,321955.14925373136,0,1,1,1
120000.0,17.7,1497.0,78.0,5.0,208611.0555555556,0,1,1,1
60000.0,16.73,1995.0,218.0,5.0,1000000.0,1,0,1,0
40000.0,19.33,1248.0,82.0,5.0,115000.0,0,1,1,1
7104.0,19.33,1248.0,82.0,5.0,674615.3846153846,0,1,0,1
60000.0,19.33,1248.0,82.0,5.0,176999.9,0,1,1,1
97000.0,19.33,1248.0,82.0,5.0,304375.0,1,0,1,1
40000.0,17.57,1193.0,88.7,5.0,428571.4285714286,0,1,1,1
120000.0,19.33,1248.0,82.0,5.0,304999.85185185185,1,0,1,1
40000.0,18.6,1197.0,81.83,5.0,440318.0909090909,0,1,1,1
68500.0,19.33,1248.0,82.0,5.0,85466.66666666667,0,1,0,1
110000.0,17.2,1396.0,53.5,5.0,77500.0,1,0,1,1
25000.0,18.9,1197.0,81.86,5.0,528624.9583333334,0,1,1,1
60000.0,25.1,1498.0,98.6,5.0,667058.7647058824,1,0,1,1
25000.0,25.17,799.0,53.3,5.0,310260.8695652174,0,1,1,1
35000.0,17.0,1497.0,118.0,5.0,357499.75,0,1,1,1
53675.0,19.33,1248.0,82.0,5.0,4.683333333333334,0,1,0,1
88000.0,19.33,1248.0,82.0,5.0,115300.13698630135,0,1,1,1
50000.0,23.1,998.0,67.04,5.0,363538.4230769231,0,1,1,1
90000.0,12.99,2494.0,100.6,8.0,1106785.7142857143,1,0,1,1
80000.0,19.33,1248.0,82.0,5.0,126000.0,0,1,1,1
56580.0,19.33,1248.0,82.0,5.0,81538.46153846153,0,1,0,1
100000.0,19.81,1086.0,68.05,5.0,261578.84210526315,0,1,1,1
100000.0,19.33,1248.0,82.0,5.0,214666.61904761905,1,0,1,1
30000.0,19.33,1248.0,82.0,5.0,3666000.0,1,0,0,0
86000.0,14.0,2179.0,138.1,7.0,659333.3333333334,1,0,1,1
42000.0,19.33,1248.0,82.0,5.0,419999.6666666667,1,0,1,1
20000.0,19.81,1086.0,68.05,5.0,195999.92857142855,0,1,1,1
56494.0,18.2,1199.0,88.7,5.0,546166.6666666666,0,1,0,1
35000.0,19.33,1248.0,82.0,5.0,2500000.0,1,0,1,0
70000.0,19.33,1248.0,82.0,5.0,402499.9166666667,0,1,1,1
